"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0101_C01_001E","Total!!Estimate!!Total population"
"S0101_C01_001M","Total!!Margin of Error!!Total population"
"S0101_C01_001MA","Annotation of Total!!Margin of Error!!Total population"
"S0101_C01_001EA","Annotation of Total!!Estimate!!Total population"
"S0101_C02_001E","Male!!Estimate!!Total population"
"S0101_C02_001EA","Annotation of Male!!Estimate!!Total population"
"S0101_C02_001M","Male!!Margin of Error!!Total population"
"S0101_C02_001MA","Annotation of Male!!Margin of Error!!Total population"
"S0101_C03_001E","Female!!Estimate!!Total population"
"S0101_C03_001M","Female!!Margin of Error!!Total population"
"S0101_C03_001MA","Annotation of Female!!Margin of Error!!Total population"
"S0101_C03_001EA","Annotation of Female!!Estimate!!Total population"
"S0101_C01_002E","Total!!Estimate!!AGE!!Under 5 years"
"S0101_C01_002M","Total!!Margin of Error!!AGE!!Under 5 years"
"S0101_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!Under 5 years"
"S0101_C01_002EA","Annotation of Total!!Estimate!!AGE!!Under 5 years"
"S0101_C02_002E","Male!!Estimate!!AGE!!Under 5 years"
"S0101_C02_002EA","Annotation of Male!!Estimate!!AGE!!Under 5 years"
"S0101_C02_002M","Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C02_002MA","Annotation of Male!!Margin of Error!!AGE!!Under 5 years"
"S0101_C03_002E","Female!!Estimate!!AGE!!Under 5 years"
"S0101_C03_002M","Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C03_002MA","Annotation of Female!!Margin of Error!!AGE!!Under 5 years"
"S0101_C03_002EA","Annotation of Female!!Estimate!!AGE!!Under 5 years"
"S0101_C01_003E","Total!!Estimate!!AGE!!5 to 9 years"
"S0101_C01_003EA","Annotation of Total!!Estimate!!AGE!!5 to 9 years"
"S0101_C01_003M","Total!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C02_003E","Male!!Estimate!!AGE!!5 to 9 years"
"S0101_C02_003EA","Annotation of Male!!Estimate!!AGE!!5 to 9 years"
"S0101_C02_003M","Male!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C02_003MA","Annotation of Male!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C03_003E","Female!!Estimate!!AGE!!5 to 9 years"
"S0101_C03_003M","Female!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C03_003MA","Annotation of Female!!Margin of Error!!AGE!!5 to 9 years"
"S0101_C03_003EA","Annotation of Female!!Estimate!!AGE!!5 to 9 years"
"S0101_C01_004E","Total!!Estimate!!AGE!!10 to 14 years"
"S0101_C01_004EA","Annotation of Total!!Estimate!!AGE!!10 to 14 years"
"S0101_C01_004M","Total!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C01_004MA","Annotation of Total!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C02_004E","Male!!Estimate!!AGE!!10 to 14 years"
"S0101_C02_004M","Male!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C02_004MA","Annotation of Male!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C02_004EA","Annotation of Male!!Estimate!!AGE!!10 to 14 years"
"S0101_C03_004E","Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C03_004M","Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C03_004MA","Annotation of Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C03_004EA","Annotation of Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C01_005E","Total!!Estimate!!AGE!!15 to 19 years"
"S0101_C01_005M","Total!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C01_005MA","Annotation of Total!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C01_005EA","Annotation of Total!!Estimate!!AGE!!15 to 19 years"
"S0101_C02_005E","Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C02_005M","Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C02_005MA","Annotation of Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C02_005EA","Annotation of Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C03_005E","Female!!Estimate!!AGE!!15 to 19 years"
