OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,Label,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion,Shape__Area,Shape__Length
1,100287,32801,101,Educational Service District 101,01109,Washtucna School District,Washtucna,,"730 East Booth Avenue, WASHTUCNA, Washington, 99371-0688","730 East Booth Avenue, WASHTUCNA, Washington, 99371-0688",Todd  Spear,tspear@tucna.wednet.edu,(509)646-3237,https://www.tucna.wednet.edu,Adams,"Adams, Franklin, Whitman",4,9,Public School District,5,5390579737.1886,410584.184247775
2,100021,32801,101,Educational Service District 101,01122,Benge School District,Benge,,"2978 E BENGE WINONA RD, BENGE, Washington, 99105-9705","2978 E BENGE WINONA RD, BENGE, Washington, 99105-9705",Robert  Moore,bob.moore@benge.wednet.edu,(509)887-2370,https://www.benge.wednet.edu/,Adams,Adams,4,9,Public School District,5,3283812555.89771,353159.685464462
3,100192,11801,123,Educational Service District 123,01147,Othello School District,Othello,,"1025 S 1st Ave, OTHELLO, Washington, 99344-1463","1025 S 1st Ave, OTHELLO, Washington, 99344-1463",Chris  Hurst,churst@othelloschools.org,(509)488-2659,https://www.othelloschools.org/,Adams,"Adams, Franklin, Grant",4,9,Public School District,4,8305618738.1709,495266.863109675
4,100131,32801,101,Educational Service District 101,01158,Lind School District,Lind,,"206 W Third St, Lind, Washington, 99341-0340","PO BOX 340, Lind, Washington, 99341-0340",Donald  Vanderholm,dvanderholm@lrschools.org,(509)677-3481,https://www.lrschools.org,Adams,Adams,4,9,Public School District,5,13849467849.2264,690112.786196062
5,100220,32801,101,Educational Service District 101,01160,Ritzville School District,Ritzville,,"209 E WELLSANDT RD, RITZVILLE, Washington, 99169-1600","209 E WELLSANDT RD, RITZVILLE, Washington, 99169-1600",Donald  Vanderholm,dvanderholm@lrschools.org,(509)659-1660,https://www.lrschools.org/,Adams,"Adams, Lincoln","4, 5",9,Public School District,5,18318639488.5013,1054539.44067461
6,100045,11801,123,Educational Service District 123,02250,Clarkston School District,Clarkston,,"1294 CHESTNUT ST, CLARKSTON, Washington, 99403-2557","PO BOX 70, CLARKSTON, Washington, 99403-2557",Thaynan  Knowlton,knowltont@csdk12.org,(509)758-2531,https://www.csdk12.org,Asotin,"Asotin, Garfield, Whitman",5,9,Public School District,5,4425644788.28973,367683.32080643
7,100015,11801,123,Educational Service District 123,02420,Asotin-Anatone School District,Asotin-Anatone,,"314 FIRST ST, ASOTIN, Washington, 99402-0489","PO BOX 489, ASOTIN, Washington, 99402-0489",Dale  Bonfield,dbonfield@aasd.wednet.edu,(509)243-1100,https://www.aasd.wednet.edu/,Asotin,Asotin,5,9,Public School District,5,14692738392.4647,564139.024440351
8,100116,11801,123,Educational Service District 123,03017,Kennewick School District,Kennewick,,"1000 W. 4th Avenue, KENNEWICK, Washington, 99336-5601","1000 W. 4th Avenue, KENNEWICK, Washington, 99336-5601",Traci  Pierce,traci.pierce@ksd.org,(509)222-5020,https://www.ksd.org/,Benton,Benton,4,"8, 16",Public School District,4,8336064608.65833,474396.673905455
9,100197,11801,123,Educational Service District 123,03050,Paterson School District,Paterson,,"51409 W PRIOR RD, PATERSON, Washington, 99345-0189","PO BOX 189, PATERSON, Washington, 99345-0189",Monica  Burnett,monicab@patersonschool.org,(509)875-2601,https://www.patersonschool.org/,Benton,Benton,4,16,Public School District,4,6093545350.36633,468987.409881842
10,100119,11801,123,Educational Service District 123,03052,Kiona-Benton City School District,Kiona-Benton City,,"1105 DALE AVE, BENTON CITY, Washington, 99320-9704","1105 DALE AVE, BENTON CITY, Washington, 99320-9704",Pete  Peterson,pete.peterson@kibesd.org,(509)588-2000,https://www.kibesd.org/,Benton,Benton,4,16,Public School District,4,3714109460.35272,433962.663052698
11,100089,11801,123,Educational Service District 123,03053,Finley School District,Finley,,"224606 E GAME FARM RD, KENNEWICK, Washington, 99337-8623","224606 E GAME FARM RD, KENNEWICK, Washington, 99337-8623",Lance  Hahn,Lhahn@finleysd.org,(509)586-3217,https://www.finleysd.org/,Benton,Benton,4,16,Public School District,4,2971580084.58984,310398.047278025
12,100205,11801,123,Educational Service District 123,03116,Prosser School District,Prosser,,"1500 Grant Ave, PROSSER, Washington, 99350","1500 Grant Ave, PROSSER, Washington, 99350",Matthew  Ellis,matt.ellis@prosserschools.org,(509)786-3323,http://www.prosserschools.org/,Benton,"Benton, Klickitat","3, 4",16,Public School District,4,16707255511.2153,866257.018427921
13,100218,11801,123,Educational Service District 123,03400,Richland School District,Richland,,"615 SNOW AVE, RICHLAND, Washington, 99352-3899","615 SNOW AVE, RICHLAND, Washington, 99352-3899",Shelley  Redinger,Shelley.Redinger@rsd.edu,(509)967-6001,https://www.rsd.edu,Benton,Benton,4,8,Public School District,4,12880600906.0877,646428.896941288
14,100139,04801,171,North Central Educational Service District 171,04019,Manson School District,Manson,,"135 S. HILL STREET, MANSON, Washington, 98831-9668","PO BOX A, MANSON, Washington, 98831-9668",Matt  Charlton,mcharlton@manson.org,(509)687-3140,https://www.manson.org,Chelan,Chelan,8,12,Public School District,4,5815015385.84778,472423.415816539
