geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US530330041011,"BG 1, Tract 41.01, King, WA",1064,265,534,152,31,28,23,26,90,78,11,19,0,13,0,13,0,13,0,13,0,13,51,49,11,18,14,25,110,77,57,49,25,41,0,13,0,13,32,29,0,13,46,37,22,32,11,18,0,13,530,137,29,33,0,13,68,74,49,46,12,20,0,13,0,13,11,19,0,13,38,33,23,27,9,15,121,73,47,52,0,13,0,13,0,13,19,21,45,42,36,31,23,25,0,13,0,13
15000US530330041012,"BG 2, Tract 41.01, King, WA",1917,578,1058,398,21,27,102,115,120,81,42,39,48,76,0,13,0,13,0,13,156,202,0,13,50,44,55,63,43,44,70,48,105,104,0,13,0,13,28,33,23,34,18,26,12,18,152,216,13,21,859,241,64,64,42,43,61,56,82,90,0,13,0,13,0,13,0,13,0,13,22,26,29,36,44,59,84,58,117,97,25,38,0,13,15,25,18,25,57,62,24,27,116,163,11,19,48,46
15000US530330063003,"BG 3, Tract 63, King, WA",1330,299,768,207,36,58,0,13,0,13,0,13,0,13,0,13,16,24,12,21,58,66,73,58,160,137,0,13,148,98,14,24,0,13,72,54,20,33,51,47,81,54,16,25,0,13,11,18,0,13,562,150,0,13,0,13,0,13,43,57,0,13,0,13,0,13,47,44,77,62,31,52,47,53,15,25,41,40,22,36,50,43,16,26,28,32,24,29,26,29,42,40,17,24,23,27,13,21
15000US530330063004,"BG 4, Tract 63, King, WA",1377,388,617,184,17,33,68,76,88,64,37,47,0,13,0,13,0,13,0,13,12,21,28,36,122,106,36,37,30,36,17,30,25,38,13,22,3,4,13,21,14,21,25,30,15,20,25,29,29,32,760,244,32,42,16,29,113,108,0,13,0,13,0,13,0,13,20,31,28,35,15,24,121,105,28,35,60,43,23,36,85,60,0,13,0,13,0,13,26,30,81,75,5,17,46,34,61,45
15000US530330078001,"BG 1, Tract 78, King, WA",1351,426,623,275,0,13,32,54,24,28,13,22,12,21,0,13,0,13,142,181,0,13,10,18,16,25,37,33,44,42,49,45,13,21,17,27,17,27,15,24,40,47,64,63,48,36,15,25,15,25,728,190,26,31,43,53,25,29,15,24,21,33,0,13,0,13,64,65,23,37,0,13,16,26,52,43,28,32,68,47,19,29,15,24,61,43,77,103,52,62,17,28,28,31,63,43,15,24
15000US530330227012,"BG 2, Tract 227.01, King, WA",1504,221,886,166,51,39,18,24,32,29,0,13,0,13,0,13,0,13,69,63,70,45,112,54,54,44,93,85,45,31,41,31,48,34,8,12,63,43,29,24,90,68,25,30,38,30,0,13,0,13,618,113,13,19,12,14,12,14,25,24,16,23,15,20,0,13,46,31,45,30,65,35,80,42,14,16,42,28,59,52,43,27,23,20,8,12,21,20,17,28,34,33,7,11,14,15,7,11
15000US530330227022,"BG 2, Tract 227.02, King, WA",1666,277,829,171,35,31,45,47,22,30,15,17,132,48,66,36,63,39,71,60,77,58,10,13,70,52,41,36,51,38,14,17,55,41,6,10,18,20,9,15,14,15,15,16,0,13,0,13,0,13,837,194,46,30,20,25,33,36,56,31,150,81,54,34,91,80,35,24,39,34,58,53,25,19,32,32,19,23,89,45,33,35,7,11,17,15,0,13,6,10,13,16,14,16,0,13,0,13
15000US530330227031,"BG 1, Tract 227.03, King, WA",1370,233,675,117,75,39,55,44,51,27,28,26,6,9,8,10,0,13,44,30,9,13,18,15,77,54,56,30,46,24,42,21,32,18,14,13,4,7,28,20,9,10,27,18,31,32,11,11,4,6,695,136,93,64,47,34,44,33,26,21,6,9,0,13,0,13,7,9,2,4,63,55,61,34,37,23,50,25,36,21,41,21,15,16,35,20,10,11,26,20,17,15,40,36,3,5,36,40
15000US530330228031,"BG 1, Tract 228.03, King, WA",1177,383,698,284,81,68,109,146,0,13,0,13,0,13,0,13,0,13,58,71,45,55,159,122,72,59,29,38,0,13,52,68,29,45,0,13,0,13,0,13,0,13,0,13,0,13,0,13,64,66,479,164,22,29,23,35,0,13,0,13,0,13,0,13,0,13,14,22,91,69,99,64,73,63,0,13,38,60,0,13,0,13,0,13,0,13,0,13,0,13,9,20,1,3,37,56,72,55
15000US530330228032,"BG 2, Tract 228.03, King, WA",1728,408,807,200,69,61,0,13,14,23,3,11,0,13,0,13,0,13,54,58,166,108,218,126,50,47,19,27,51,58,15,24,0,13,44,49,86,140,0,13,0,13,18,29,0,13,0,13,0,13,921,341,25,39,28,45,15,24,12,20,0,13,0,13,0,13,10,17,225,125,218,115,90,71,227,260,18,26,44,47,9,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
